japonais,romaji,francais,anglais,groupe
たべもの,tabemono,nourriture,Food,Food & Drink
にく,niku,la viande,Meat,Food & Drink
やさい,yasai,les légumes,Vegetable,Food & Drink
くだもの,kudamono,les fruits,Fruit,Food & Drink
さしみ,sashimi,sashimi,Sashimi,Food & Drink
てんぷら,tenpura,tempura,Tempura,Food & Drink
パン,pan,le pain,Bread,Food & Drink
チーズ,chîzu,le fromage,Cheese,Food & Drink
チョコレート,chokorêto,le chocolat,Chocolate,Food & Drink
エルジェ,eruje,Hergé,,
ミシマ,mishima,Mishima,,
おんがく,ongaku,musique,Music,Hobbies
CD,shîdî,CD,CD / Album,Hobbies
ジャズ,jazu,le jazz,Jazz,Hobbies
クラシック,kurashikku,la musique classique,Classical music,Hobbies
ロック,rokku,le rock,Rock music,Hobbies
ほん,hon,un livre,Book,Things & Places
まんが,manga,un manga,Manga / Comic,Things & Places
ざっし,zasshi,un magazine,Magazine,Things & Places
しんぶん,shinbun,un journal,Newspaper,Things & Places
テレビ,terebi,une télévision,Television / TV,Things & Places
ラジオ,rajio,la radio,Radio,Things & Places
カメラ,kamera,un appareil photo,Camera,Things & Places
ボールペン,bôrupen,un stylo bille,Ballpoint pen,Things & Places
えんぴつ,enpitsu,un crayon à papier,Pencil,Things & Places
はいざら,haizara,un cendrier,,
とけい,tokei,une montre,Watch / Clock,Things & Places
かさ,kasa,un parapluie,Umbrella,Things & Places
いぬ,inu,un chien,Dog,Things & Places
えいが,eiga,un film,Movie / Film,Things & Places
くろさわ,kurosawa,Kurosawa,,
かげむしゃ,kagemusha,Kagemusha,,
デパート,depâto,les grands magasins,Department store,Things & Places
バス,basu,un bus,Bus,Transport
ひこうき,hikôki,un avion,Airplane,Transport
タクシー,takushî,un taxi,Taxi,Transport
あそこ,asoko,là-bas,Over there,Directions
プログラム,puroguramu,un programme (d'événements/de films),,
ちかてつ,chikatetsu,le métro,Subway / Underground train,Transport
でんしゃ,densha,le train,Train (electric),Transport
こんばん,konban,ce soir,Tonight,Time
ふね,fune,un bateau,Ship / Boat,Transport
しんかんせん,shinkansen,le shinkansen (train à grande vitesse),Shinkansen / Bullet train,Transport
ひがし,higashi,l'Est,East,Directions
にし,nishi,l'Ouest,West,Directions
きた,kita,le Nord,North,Directions
みなみ,minami,le Sud,South,Directions
さん,san,Monsieur/Madame (suffixe),,
はい,,,Yes,Basics
いいえ,,,No,Basics
おはようございます,,,Good morning (polite),Basics
こんにちは,,,Good afternoon / Hello,Basics
こんばんは,,,Good evening,Basics
さようなら,,,Goodbye,Basics
ありがとう,,,Thank you,Basics
はじめまして,,,Nice to meet you,Basics
どうぞ,,,Please / Here you go,Basics
おねがいします,,,Please (polite request),Basics
いらっしゃい,,,Welcome,Basics
しつれいします,,,Excuse me / Goodbye (formal),Basics
いしゃ,,,Doctor,Occupations
かんごし,,,Nurse,Occupations
きょうし,,,Teacher / Instructor,Occupations
エンジニア,,,Engineer,Occupations
りょうりにん,,,Cook / Chef,Occupations
コック,,,Cook / Chef,Occupations
はいゆう,,,Actor / Actress,Occupations
てんいん,,,Shop assistant / Clerk,Occupations
ぎんこういん,,,Bank employee,Occupations
パソコン,,,Personal computer / Laptop,Things & Places
本だな,,,Bookshelf,Things & Places
としょかん,,,Library,Things & Places
みぎ,,,Right,Directions
ひだり,,,Left,Directions
いきます,,,To go,Verbs
かえります,,,To return (home),Verbs
きます,,,To come,Verbs
います,,,To exist / be (animate),Verbs
あります,,,To exist / be (inanimate),Verbs
します,,,To do,Verbs
たべます,,,To eat,Verbs
のみます,,,To drink,Verbs
みます,,,To see / watch / look,Verbs
ききます,,,To listen / hear / ask,Verbs
よみます,,,To read,Verbs
かきます,,,To write / draw,Verbs
かいます,,,To buy,Verbs
かぶります,,,To wear (on head),Verbs
はきます,,,To wear (on lower body / shoes),Verbs
けさ,,,This morning,Time
しゅうまつ,,,Weekend,Time
いただきます,,,Thanks for the meal (before eating),Food & Drink
ごちそうさまでした,,,Thanks for the meal (after eating),Food & Drink
ケーキ,,,Cake,Food & Drink
つまらない,,,Boring / Tedious,Adjectives
たのしい,,,Fun / Enjoyable,Adjectives
いそがしい,,,Busy,Adjectives
いたい,,,Painful / Hurt,Adjectives
みどり,,,Green,Colors
むらさき,,,Purple,Colors
グレー,,,Grey,Colors
ちゃいろ,,,Brown,Colors
ピンク,,,Pink,Colors
すき（な）,,,Likable / Favorite,Na-Adjectives
きらい（な）,,,Disliked / Hated,Na-Adjectives
じょうず（な）,,,Good at / Skillful,Na-Adjectives
へた（な）,,,Poor at / Unskillful,Na-Adjectives
にぎやか（な）,,,Lively / Bustling,Na-Adjectives
しずか（な）,,,Quiet / Peaceful,Na-Adjectives
きれい（な）,,,Beautiful / Clean,Na-Adjectives
しんせつ（な）,,,Kind / Helpful,Na-Adjectives
べんり（な）,,,Convenient / Useful,Na-Adjectives
げんき（な）,,,Healthy / Energetic / Well,Na-Adjectives
ひま,,,Free time / Leisure,Na-Adjectives
ゆうめい,,,Famous,Na-Adjectives
すてき,,,Lovely / Wonderful,Na-Adjectives
おしゃれ,,,Stylish / Fashionable,Na-Adjectives
いちご,,,Strawberry,Fruit & Veg
すいか,,,Watermelon,Fruit & Veg
ぶどう,,,Grape,Fruit & Veg
みかん,,,Mandarin orange / Tangerine,Fruit & Veg
さくらんぼ,,,Cherry,Fruit & Veg
メロン,,,Melon,Fruit & Veg
レモン,,,Lemon,Fruit & Veg
きゅうり,,,Cucumber,Fruit & Veg
なす,,,Eggplant / Aubergine,Fruit & Veg
キャベツ,,,Cabbage,Fruit & Veg
ねぎ,,,Green onion / Leek,Fruit & Veg
はくさい,,,Napa cabbage / Chinese cabbage,Fruit & Veg
ほうれんそう,,,Spinach,Fruit & Veg
レタス,,,Lettuce,Fruit & Veg
じゃがいも,,,Potato,Fruit & Veg
たまねぎ,,,Onion,Fruit & Veg
だいこん,,,Daikon radish,Fruit & Veg
にんじん,,,Carrot,Fruit & Veg
まぐろ,,,Tuna,Seafood
さけ,,,Salmon / Sake (liquor),Seafood
かに,,,Crab,Seafood
いか,,,Squid,Seafood
たこ,,,Octopus,Seafood
いわし,,,Sardine,Seafood
さば,,,Mackerel,Seafood
たい,,,Sea bream / Red snapper,Seafood
サイクリング,,,Cycling,Hobbies
ハイキング,,,Hiking,Hobbies
ダンス,,,Dancing / Dance,Hobbies
サーフィン,,,Surfing,Hobbies
じょうば,,,Horseback riding,Hobbies
すいえい,,,Swimming,Hobbies
りょこう,,,Travel / Trip,Hobbies
